"person_id","attribute_id","match_int"
3043,1,1
3043,2,0
3043,3,1
3043,5,1
3043,6,1
3043,7,1
3043,9,0
3043,10,1
3043,11,0
3043,12,0
3043,29,0
3043,30,0
3043,31,0
3043,32,0
3043,33,0
3043,34,0
3043,35,0
3043,36,0
3043,37,0
3043,39,1
3043,49,0
3043,50,1
3043,52,1
3043,53,1
3043,54,1
3043,56,0
3043,57,0
3043,59,1
3043,60,1
3043,61,1
3043,63,1
3043,64,1
3043,65,1
3043,66,1
3043,67,1
3043,72,1
3043,73,1
3043,74,1
3043,82,1
3043,83,1
3043,84,0
3043,86,1
3043,87,1
3043,88,1
3043,90,1
3043,91,1
3043,92,1
3043,93,0
3043,147,0
3043,148,0
3043,149,0
3043,150,0
3043,152,1
3043,153,1
3043,154,0
3043,155,1
3043,157,1
3043,159,1
3043,160,0
3043,164,0
3043,170,0
3043,171,0
3043,172,0
3043,173,0
3043,174,0
3043,175,0
3043,176,0
3043,177,0
3043,178,0
3043,181,0
3043,182,0
3043,183,0
3043,184,0
3043,194,1
3043,196,0
3043,197,0
3043,198,0
3043,200,0
3043,201,1
3043,202,0
3043,203,0
3049,1,1
3049,2,0
3049,3,1
3049,5,1
3049,6,1
3049,7,1
3049,9,1
3049,10,0
3049,11,0
3049,12,0
3049,29,0
3049,30,0
3049,31,0
3049,32,0
3049,33,0
3049,34,0
3049,35,1
3049,36,1
3049,37,0
3049,39,0
3049,40,0
3049,41,0
3049,49,1
3049,50,1
3049,52,1
3049,53,1
3049,54,1
3049,56,1
3049,57,1
3049,59,1
3049,60,1
3049,61,1
3049,63,1
3049,64,1
3049,65,1
3049,66,1
3049,67,1
3049,72,1
3049,73,1
3049,74,1
3049,82,1
3049,83,1
3049,84,1
3049,86,1
3049,87,1
3049,88,1
3049,90,1
3049,91,1
3049,92,1
3049,93,1
3049,147,0
3049,148,1
3049,149,0
3049,150,0
3049,152,1
3049,153,1
3049,154,1
3049,155,0
3049,157,0
3049,159,0
3049,160,0
3049,164,0
3049,170,0
3049,171,0
3049,172,0
3049,173,0
3049,174,0
3049,175,0
3049,176,0
3049,177,0
3049,178,0
3049,181,0
3049,182,0
3049,183,0
3049,184,0
3049,194,0
3049,196,0
3049,197,0
3049,198,0
3049,200,0
3049,201,1
3049,202,0
3049,203,0
3051,1,1
3051,2,0
3051,3,1
3051,5,1
3051,6,1
3051,7,1
3051,9,0
3051,10,1
3051,11,0
3051,12,0
3051,29,0
3051,30,0
3051,31,0
3051,32,0
3051,33,0
3051,34,0
3051,35,0
3051,36,0
3051,37,0
3051,39,1
3051,40,1
3051,41,0
3051,49,1
3051,50,1
3051,52,1
3051,53,1
3051,54,1
3051,56,1
3051,57,1
3051,59,1
3051,60,1
3051,61,1
3051,63,1
3051,64,1
3051,65,1
3051,66,1
3051,67,1
3051,72,1
3051,73,1
3051,74,1
3051,82,1
3051,83,1
3051,84,1
3051,86,1
3051,87,1
3051,88,1
3051,90,1
3051,91,1
3051,92,1
3051,93,1
3051,147,0
3051,148,1
3051,149,0
3051,150,0
3051,152,0
3051,153,0
3051,154,0
3051,155,0
3051,157,0
3051,159,0
3051,160,0
3051,164,0
3051,170,1
3051,171,1
3051,172,0
3051,173,0
3051,174,0
3051,175,1
3051,176,0
3051,177,0
3051,178,0
3051,181,0
3051,182,0
3051,183,0
3051,184,0
3051,194,0
3051,196,0
3051,197,0
3051,198,0
3051,200,0
3051,201,1
3051,202,1
3051,203,1
3054,1,1
3054,2,0
3054,3,1
3054,5,1
3054,6,1
3054,7,1
3054,9,0
3054,10,1
3054,11,0
3054,12,0
3054,29,0
3054,30,0
3054,31,0
3054,32,0
3054,33,0
3054,34,0
3054,35,1
3054,36,1
3054,37,0
3054,39,0
3054,40,0
3054,41,0
3054,49,1
3054,50,1
3054,52,1
3054,53,1
3054,54,1
3054,56,1
3054,57,1
3054,59,1
3054,60,1
3054,61,1
3054,63,1
3054,64,1
3054,65,1
3054,66,1
3054,67,1
3054,72,1
3054,73,1
3054,74,1
3054,82,1
3054,83,1
3054,84,1
3054,86,1
3054,87,1
3054,88,1
3054,90,1
3054,91,1
3054,92,1
3054,93,1
3054,147,0
3054,148,0
3054,149,1
3054,150,0
3054,152,1
3054,153,1
3054,154,0
3054,155,1
3054,157,0
3054,159,0
3054,160,0
3054,164,0
3054,170,0
3054,171,0
3054,172,0
3054,173,0
3054,174,0
3054,175,0
3054,176,0
3054,177,0
3054,178,0
3054,181,0
3054,182,0
3054,183,0
3054,184,0
3054,194,0
3054,196,0
3054,197,0
3054,198,0
3054,200,0
3054,201,1
3054,202,0
3054,203,0
3059,1,1
3059,2,0
3059,3,1
3059,5,1
3059,6,1
3059,7,1
3059,9,0
3059,10,1
3059,11,0
3059,12,0
3059,29,1
3059,30,0
3059,31,1
3059,32,0
3059,33,0
3059,34,0
3059,35,0
3059,36,0
3059,37,0
3059,39,0
3059,40,0
3059,41,0
3059,49,1
3059,50,1
3059,52,1
3059,53,1
3059,54,1
3059,56,1
3059,57,1
3059,59,1
3059,60,1
3059,61,1
3059,63,1
3059,64,1
3059,65,1
3059,66,1
3059,67,1
3059,72,0
3059,73,1
3059,74,1
3059,82,1
3059,83,1
3059,84,1
3059,86,1
3059,87,1
3059,88,1
3059,90,1
3059,91,1
3059,92,1
3059,93,1
3059,147,0
3059,148,1
3059,149,0
3059,150,0
3059,152,1
3059,153,1
3059,154,0
3059,155,1
3059,157,0
3059,159,0
3059,160,0
3059,164,0
3059,170,0
3059,171,0
3059,172,0
3059,173,0
3059,174,0
3059,175,0
3059,176,0
3059,177,0
3059,178,0
3059,181,0
3059,182,0
3059,183,0
3059,184,0
3059,194,0
3059,196,0
3059,197,0
3059,198,0
3059,200,0
3059,201,1
3059,202,0
3059,203,1
3063,1,1
3063,2,0
3063,3,1
3063,5,1
3063,6,1
3063,7,1
3063,29,0
3063,30,0
3063,31,0
3063,32,0
3063,33,0
3063,34,0
3063,35,1
3063,36,1
3063,37,0
3063,39,0
3063,40,0
3063,41,0
3063,49,1
3063,50,1
3063,52,1
3063,53,1
3063,54,1
3063,56,0
3063,57,1
3063,59,1
3063,60,1
3063,61,1
3063,63,1
3063,64,1
3063,65,1
3063,66,1
3063,67,1
3063,72,1
3063,73,1
3063,74,1
3063,82,1
3063,83,1
3063,84,1
3063,86,1
3063,87,1
3063,88,1
3063,90,1
3063,91,1
3063,92,1
3063,93,1
3063,147,0
3063,148,0
3063,149,0
3063,150,0
3063,152,1
3063,153,1
3063,154,1
3063,155,1
3063,157,1
3063,159,0
3063,160,1
3063,164,0
3063,170,1
3063,171,1
3063,172,0
3063,173,0
3063,174,1
3063,175,0
3063,176,0
3063,177,0
3063,178,0
3063,181,0
3063,182,0
3063,183,0
3063,184,0
3063,194,0
3063,196,0
3063,197,0
3063,198,0
3063,200,0
3063,201,1
3063,202,0
3063,203,0
3064,1,1
3064,2,0
3064,3,1
3064,5,1
3064,6,1
3064,7,1
3064,29,1
3064,30,0
3064,31,1
3064,32,0
3064,33,0
3064,34,0
3064,35,0
3064,36,0
3064,37,0
3064,39,0
3064,40,0
3064,41,0
3064,49,1
3064,50,1
3064,52,1
3064,53,1
3064,54,1
3064,56,1
3064,57,1
3064,59,1
3064,60,1
3064,61,1
3064,63,1
3064,64,1
3064,65,1
3064,66,1
3064,67,1
3064,72,1
3064,73,1
3064,74,1
3064,82,1
3064,83,1
3064,84,1
3064,86,1
3064,87,1
3064,88,1
3064,90,1
3064,91,1
3064,92,1
3064,93,0
3064,147,1
3064,148,0
3064,149,0
3064,150,0
3064,194,0
3064,196,0
3064,197,0
3064,198,0
3064,200,0
3064,201,1
3064,202,0
3064,203,0
3082,1,1
3082,2,0
3082,3,1
3082,5,1
3082,6,1
3082,7,1
3082,29,0
3082,30,0
3082,31,0
3082,32,0
3082,33,0
3082,34,0
3082,35,1
3082,36,1
3082,37,0
3082,39,0
3082,40,0
3082,41,0
3082,49,1
3082,50,1
3082,52,1
